full_name,age,photoURL,player_team,games_played
LachlanSholl,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006136.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,11.0
CurtisTaylor,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006137.png?i10c=img.resize(scale_height:0.6),North Melbourne,22.0
MaxKing,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006143.png?i10c=img.resize(scale_height:0.6),St Kilda,22.0
BenKing,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006144.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,0.0
BobbyHill,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006148.png?i10c=img.resize(scale_height:0.6),GWS Giants,11.0
TomJoyce,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006150.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,0.0
JordanClark,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006152.png?i10c=img.resize(scale_height:0.6),Fremantle,24.0
BigoaNyuon,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006193.png?i10c=img.resize(scale_height:0.6),Richmond,1.0
ChayceJones,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006203.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,20.0
SamWicks,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006232.png?i10c=img.resize(scale_height:0.6),Sydney Swans,10.0
DylanMoore,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006314.png?i10c=img.resize(scale_height:0.6),Hawthorn,22.0
RileyGarcia,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006533.png?i10c=img.resize(scale_height:0.6),Western Bulldogs,7.0
JackPetruccelle,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006550.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,8.0
LukeEdwards,20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006576.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,3.0
MattMcGuinness,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006653.png?i10c=img.resize(scale_height:0.6),North Melbourne,0.0
PaulTsapatolis,20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1007049.png?i10c=img.resize(scale_height:0.6),Geelong Cats,0.0
HarrySharp,19,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1007099.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,5.0
NickStevens,20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1007101.png?i10c=img.resize(scale_height:0.6),Geelong Cats,0.0
